Realm,Genus,Species,data_gatherer,habitat_data_gatherer,Kingdom,Phylum,Class,Order,Family,maximum_body_size_SVL_HBL_cm_,Source_for_maximum_body_size,notes_on_body_size_e_g_type_of_metric_,Trophic_position,Source_logic_for_trophic_position,migratory_,source_logic_for_migration_info,dispersal_distance_category,logic_source_for_dispersal_distance,dispersal_type_walking_may_need_to_be_reworded_to_something_that_encaptures_slithering_,logic_source_for_dispersal_type,cold_season_dormancy_,source_logic_for_cold_season_dormancy,notes_for_cold_season_dormancy,hot_season_dormancy_,source_logic_for_hot_season_dormancy,notes_for_hot_season_dormancy,highland_specialist,source_logic_for_highland_specialist,coastal_or_oceanic,notes_logic,coastal_or_oceanic_source,upper_depth_limit,lower_depth_limit,usual_range,depth_distribution_source,lower_elevation_limit_meters,upper_elevation_limit_meters,elevational_range_source,pelagic_habitat_for_marine_species,source_logic_for_pelagic_habitat,genus_species,limit_type,notes,newly_added
Terrestrial,Liolaemus,darwinii,Ignacio,Sarah,Animalia,Chordata,Reptilia,Squamata,Iguanidae,6.9,Meiri 2008,max adult SVL,omnivore,Labra 2012,Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)",walking,Squamate walking tetrapod,Yes,"Medina, M., Gutierrez, J., Scolaro, A., & Ibargüengoytía, N. (2009). Thermal responses to environmental constraints in two populations of the oviparous lizard Liolaemus bibronii in Patagonia, Argentina. Journal of Thermal Biology, 34(1), 32-40.",high latitude and altitude populations in genus tend to hibernate,No,no info - based on climate,,non-highland specialist,IUCN,NA,terrestrial,NA,NA,NA,NA,terrestrial,0,3000,IUCN,NA,terrestrial,Liolaemus_darwinii,"max, min",NA,NA
Terrestrial,Liolaemus,eleodori,Ignacio,Sarah,Animalia,Chordata,Reptilia,Squamata,Iguanidae,7.65,Meiri 2008,max adult SVL,omnivore,Labra 2012,Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)",walking,Squamate walking tetrapod,No,"no info - based on congeners, climate (andean grassland)",,No,no info - based on climate,,highland specialist,IUCN,NA,terrestrial,NA,NA,NA,NA,terrestrial,3500,3500,IUCN,NA,terrestrial,Liolaemus_eleodori,min,"Endemic to a National Park, collected at single elevation. IUCN reports 3500 as lower and upper, but I'm unsure whether representative of true range",NA
Terrestrial,Liolaemus,elongatus,Ignacio,Sarah,Animalia,Chordata,Reptilia,Squamata,Iguanidae,9.1,Meiri 2008,max adult SVL,omnivore,Labra 2012,Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)",walking,Squamate walking tetrapod,Yes,"Medina, M., Gutierrez, J., Scolaro, A., & Ibargüengoytía, N. (2009). Thermal responses to environmental constraints in two populations of the oviparous lizard Liolaemus bibronii in Patagonia, Argentina. Journal of Thermal Biology, 34(1), 32-40.",high latitude and altitude populations in genus tend to hibernate,No,no info - based on climate,,non-highland specialist,IUCN,NA,terrestrial,NA,NA,NA,NA,terrestrial,350,1500,IUCN,NA,terrestrial,Liolaemus_elongatus,"max, min",NA,NA
Terrestrial,Liolaemus,fabiani,Ignacio,Sarah,Animalia,Chordata,Reptilia,Squamata,Iguanidae,7.37,Meiri 2008,max adult SVL,omnivore,Labra 2012,Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)",walking,Squamate walking tetrapod,No,"Meiri, S., Bauer, A. M., Chirio, L., Colli, G. R., Das, I., Doan, T. M., ... & Van Damme, R. (2013). Are lizards feeling the heat? A tale of ecology and evolution under two temperatures. Global Ecology and Biogeography, 22(7), 834-845.","activity period marked as ""all""",No,no info - based on climate,,highland specialist,IUCN,NA,terrestrial,NA,NA,NA,NA,terrestrial,2300,3000,IUCN,NA,terrestrial,Liolaemus_fabiani,min,NA,NA
Terrestrial,Liolaemus,fitzgeraldi,Ignacio,Sarah,Animalia,Chordata,Reptilia,Squamata,Iguanidae,5.8,Meiri 2008,max adult SVL,omnivore,Labra 2012,Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)",walking,Squamate walking tetrapod,Yes,"Aguilar, P. M., Labra, A., & Niemeyer, H. M. (2009). Chemical self-recognition in the lizard Liolaemus fitzgeraldi. Journal of ethology, 27(1), 181-184.",refers to post-hibernation state,No,no info - based on climate,,highland specialist,IUCN,NA,terrestrial,NA,NA,NA,NA,terrestrial,2700,4500,IUCN,NA,terrestrial,Liolaemus_fitzgeraldi,min,NA,NA
Terrestrial,Liolaemus,fitzingerii,Ignacio,Sarah,Animalia,Chordata,Reptilia,Squamata,Iguanidae,10.8,Meiri 2008,max adult SVL,herbivore,Espinoza et al. 2004,Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)",walking,Squamate walking tetrapod,Yes,"Medina, M., Gutierrez, J., Scolaro, A., & Ibargüengoytía, N. (2009). Thermal responses to environmental constraints in two populations of the oviparous lizard Liolaemus bibronii in Patagonia, Argentina. Journal of Thermal Biology, 34(1), 32-40.",high latitude and altitude populations in genus tend to hibernate,No,no info - based on climate,,non-highland specialist,IUCN,NA,terrestrial,NA,NA,NA,NA,terrestrial,0,1100,IUCN,NA,terrestrial,Liolaemus_fitzingerii,"max, min",NA,NA
Terrestrial,Liolaemus,fuscus,Ignacio,Sarah,Animalia,Chordata,Reptilia,Squamata,Iguanidae,4.73,Meiri 2008,max adult SVL,omnivore,Labra 2012,Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"Stellatelli, O. A., Block, C., Moreno-Azócar, D. L., Vega, L. E., Isacch, J. P., & Cruz, F. B. (2016). Scale dependency of Liolaemus lizards’ home range in response to different environmental variables. Current Zoology, 62(6), 521-530.",walking,Squamate walking tetrapod,Yes,"Medel, R. G. (1992). Costs and benefits of tail loss: assessing economy of autotomy in two lizard species of central Chile. Revista Chilena de Historia Natural, 65, 357-361.",refers to short vs long hibernation periods,No,no info - based on climate,,non-highland specialist,IUCN,NA,terrestrial,NA,NA,NA,NA,terrestrial,0,1900,IUCN,NA,terrestrial,Liolaemus_fuscus,min,NA,NA
Terrestrial,Liolaemus,hellmichi,Ignacio,Sarah,Animalia,Chordata,Reptilia,Squamata,Iguanidae,3.5,Meiri 2008,max adult SVL,omnivore,Labra 2012,Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)",walking,Squamate walking tetrapod,No,"Meiri, S., Bauer, A. M., Chirio, L., Colli, G. R., Das, I., Doan, T. M., ... & Van Damme, R. (2013). Are lizards feeling the heat? A tale of ecology and evolution under two temperatures. Global Ecology and Biogeography, 22(7), 834-845.","activity period marked as ""all""",No,no info - based on climate,,highland specialist,IUCN,NA,terrestrial,NA,NA,NA,NA,terrestrial,1000,1400,IUCN,NA,terrestrial,Liolaemus_hellmichi,min,NA,NA
Terrestrial,Liolaemus,irregularis,Ignacio,Sarah,Animalia,Chordata,Reptilia,Squamata,Iguanidae,9,Meiri 2008,max adult SVL,omnivore,Labra 2012,Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)",walking,Squamate walking tetrapod,Yes,"Medina, M., Gutierrez, J., Scolaro, A., & Ibargüengoytía, N. (2009). Thermal responses to environmental constraints in two populations of the oviparous lizard Liolaemus bibronii in Patagonia, Argentina. Journal of Thermal Biology, 34(1), 32-40.",high latitude and altitude populations in genus tend to hibernate,No,no info - based on climate,,highland specialist,IUCN,NA,terrestrial,NA,NA,NA,NA,terrestrial,3060,5000,IUCN,NA,terrestrial,Liolaemus_irregularis,"max, min",NA,NA
Terrestrial,Liolaemus,jamesi,Ignacio,Sarah,Animalia,Chordata,Reptilia,Squamata,Iguanidae,9.4,Meiri 2008,max adult SVL,omnivore,Labra 2012,Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)",walking,Squamate walking tetrapod,No,"Meiri, S., Bauer, A. M., Chirio, L., Colli, G. R., Das, I., Doan, T. M., ... & Van Damme, R. (2013). Are lizards feeling the heat? A tale of ecology and evolution under two temperatures. Global Ecology and Biogeography, 22(7), 834-845.","activity period marked as ""all""",No,no info - based on climate,,highland specialist,IUCN,NA,terrestrial,NA,NA,NA,NA,terrestrial,3300,4700,IUCN,NA,terrestrial,Liolaemus_jamesi,min,NA,NA
Terrestrial,Liolaemus,kingii,Ignacio,Sarah,Animalia,Chordata,Reptilia,Squamata,Iguanidae,10,Meiri 2008,max adult SVL,omnivore,Labra 2012,Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)",walking,Squamate walking tetrapod,Yes,"Medina, M., Gutierrez, J., Scolaro, A., & Ibargüengoytía, N. (2009). Thermal responses to environmental constraints in two populations of the oviparous lizard Liolaemus bibronii in Patagonia, Argentina. Journal of Thermal Biology, 34(1), 32-40.",high latitude and altitude populations in genus tend to hibernate,No,no info - based on climate,,non-highland specialist,IUCN,NA,terrestrial,NA,NA,NA,NA,terrestrial,0,1340,IUCN,NA,terrestrial,Liolaemus_kingii,"max, min",NA,NA
Terrestrial,Liolaemus,koslowskyi,Ignacio,Sarah,Animalia,Chordata,Reptilia,Squamata,Iguanidae,8.2,Meiri 2008,max adult SVL,omnivore,Labra 2012,Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)",walking,Squamate walking tetrapod,Yes,"Medina, M., Gutierrez, J., Scolaro, A., & Ibargüengoytía, N. (2009). Thermal responses to environmental constraints in two populations of the oviparous lizard Liolaemus bibronii in Patagonia, Argentina. Journal of Thermal Biology, 34(1), 32-40.",high latitude and altitude populations in genus tend to hibernate,No,no info - based on climate,,non-highland specialist,IUCN,NA,terrestrial,NA,NA,NA,NA,terrestrial,800,2450,IUCN,NA,terrestrial,Liolaemus_koslowskyi,"max, min",NA,NA
Terrestrial,Liolaemus,kriegi,Ignacio,Sarah,Animalia,Chordata,Reptilia,Squamata,Iguanidae,11.5,Meiri 2008,max adult SVL,omnivore,Labra 2012,Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)",walking,Squamate walking tetrapod,Yes,"Medina, M., Gutierrez, J., Scolaro, A., & Ibargüengoytía, N. (2009). Thermal responses to environmental constraints in two populations of the oviparous lizard Liolaemus bibronii in Patagonia, Argentina. Journal of Thermal Biology, 34(1), 32-40.",high latitude and altitude populations in genus tend to hibernate,No,no info - based on climate,,non-highland specialist,IUCN,NA,terrestrial,NA,NA,NA,NA,terrestrial,950,2000,IUCN,NA,terrestrial,Liolaemus_kriegi,"max, min",NA,NA
Terrestrial,Liolaemus,laurenti,Ignacio,Sarah,Animalia,Chordata,Reptilia,Squamata,Iguanidae,7.3,Meiri 2008,max adult SVL,omnivore,Labra 2012,Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)",walking,Squamate walking tetrapod,Yes,"Medina, M., Gutierrez, J., Scolaro, A., & Ibargüengoytía, N. (2009). Thermal responses to environmental constraints in two populations of the oviparous lizard Liolaemus bibronii in Patagonia, Argentina. Journal of Thermal Biology, 34(1), 32-40.",high latitude and altitude populations in genus tend to hibernate,No,no info - based on climate,,non-highland specialist,IUCN,NA,terrestrial,NA,NA,NA,NA,terrestrial,800,1100,IUCN,NA,terrestrial,Liolaemus_laurenti,"max, min",NA,NA
Terrestrial,Liolaemus,lemniscatus,Ignacio,Sarah,Animalia,Chordata,Reptilia,Squamata,Iguanidae,5.4,Meiri 2008,max adult SVL,omnivore,Labra 2012,Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"Stellatelli, O. A., Block, C., Moreno-Azócar, D. L., Vega, L. E., Isacch, J. P., & Cruz, F. B. (2016). Scale dependency of Liolaemus lizards’ home range in response to different environmental variables. Current Zoology, 62(6), 521-530.",walking,Squamate walking tetrapod,Yes,"Acosta, J. C., Alés, R. G., Blanco, G., Escudero, P. C., & Avila, L. J. (2020). General Ecology of Patagonian Lizards. In Lizards of Patagonia (pp. 293-334). Springer, Cham.",,No,no info - based on climate,,non-highland specialist,IUCN,NA,terrestrial,NA,NA,NA,NA,terrestrial,0,2100,IUCN,NA,terrestrial,Liolaemus_lemniscatus,min,NA,NA
